gene_1,gene_2,gene_3,gene_4,gene_6,gene_7,gene_10,gene_11,gene_12,gene_13,gene_14,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,Class
2.325242483,3.247092027,8.174006857,10.06505255,7.487446152,0,0,0,2.759581973,0,0,0,0,6.944553949,2.951214764,0,7.163659738,0,0,0,0.566571641,9.569891675,0.566571641,4.742653014,6.921840937,0.566571641,7.769864285,0,12.05427192,6.904568393,0.566571641,0,9.73370853,0,10.08626894,0,0,0.566571641,2.759581973,7.149066251,9.382984925,11.39379264,11.64218259,0,1
3.44619005,3.620961697,7.17191735,9.796558821,8.175245137,1.972508859,0,1.972508859,2.21896711,0,0,0,0,8.617963278,3.823779926,0,7.783574517,0,0,0,1.300006547,9.492714449,0.791689067,4.459300459,7.451277062,0.791689067,8.21273955,5.230986874,10.38215926,4.094641454,0,0,9.968537204,0,10.49974625,0,0,0,0,7.292137545,10.07309721,8.763408255,11.35489399,0.791689067,1
2.554195894,1.296134325,8.770277361,10.46290098,8.013992565,0,0,0.736561583,3.54344639,0,0,0,0,7.243802347,3.221536856,0,10.23185717,0,0,0,1.584337197,10.09486943,1.221815228,4.275089016,8.379863516,5.522620761,7.205509813,0.736561583,10.11233524,5.680881296,0,1.414460306,9.625966314,0.736561583,10.0606419,0,0.414785006,0,6.290605024,6.865300243,9.681449265,8.968666793,11.7827198,0.414785006,1
3.667699148,3.083179322,7.997292408,9.516885829,7.925423887,0.732486293,0,0,3.762157436,0,0,0,0,10.17816685,2.797718584,5.718145137,7.065636932,0,0,0,1.215989154,9.595471958,1.215989154,4.948568144,7.998150362,0.732486293,6.708035453,0,13.03501384,8.126627045,0,0,9.634415389,0,9.675840625,0,0,0,0,7.258726194,10.10032068,9.391772015,11.3559787,0,1
3.821934662,3.717605143,7.593099753,10.20596426,7.613185376,0,0,0,1.982363898,0,0,0,0.882290891,9.138154024,2.787181685,1.896736847,7.445345986,0,0,0,1.425727838,9.685060616,0.507515586,4.31420346,8.779702942,0.882290891,7.245666786,5.758231211,12.56284581,7.420701343,0,0,9.702686976,0,9.553631214,0,0,0,2.26144055,8.05410502,10.47102484,8.439448607,11.73014318,0,1
3.219029085,2.284780616,8.124178191,10.38613194,5.780310099,0.521251795,0.521251795,0.9032697,3.460572208,0,0.521251795,0,0.521251795,7.154078855,2.297602299,4.132256025,8.697916264,0,0,0.521251795,0.521251795,10.98210944,0.521251795,4.750510036,7.415429115,4.132256025,8.199770484,0.521251795,11.93503242,6.634395785,0,1.205079666,10.20492566,0,10.81687966,0,0,0,2.016531977,7.701389642,10.14297497,9.098024185,11.67350784,0.521251795,1
2.231647445,3.833132974,7.077296415,10.79522797,7.009055988,0.544089667,0,0,3.135436367,0,0,0,0,8.695753761,3.135436367,0,7.940272482,0,0,0,0,8.98245175,1.906313402,4.711203034,7.972198653,0,7.874907598,0,11.42177557,7.098569045,0,0.544089667,9.940573479,0,9.819265818,0,0,0,0.938248148,8.327337066,11.02666176,8.21394504,11.56612541,0.544089667,1
4.185929959,4.003943982,7.827018717,10.20203809,7.44209753,1.078541524,0,0.637749339,2.116231661,0,0,0,0,8.894132624,3.306714287,4.424982535,8.083149531,0,0,0,0.637749339,9.900190575,2.290306435,5.316076937,7.009739058,4.143899481,7.214989308,0,11.75751085,7.821174461,1.078541524,0,10.09097249,0,10.09610896,0,0,0,5.005970305,7.185321468,10.36294104,8.612024375,11.50775005,1.688762244,1
2.900548052,3.695314607,7.956126369,10.16825843,7.117165154,0.410232546,5.124394312,0,1.860605307,0.990446652,0,0,0,8.699756357,3.485091877,0,8.464762189,0,0,0.410232546,5.830891637,10.1604009,1.572259109,4.590092969,7.456732239,0,6.947373942,7.451318279,12.6463652,9.8085202,0.72935699,1.860605307,10.52940127,5.880065905,10.05682735,0.410232546,1.723602246,0,0.72935699,7.560936538,10.138259,8.569654376,11.73146329,0.72935699,1
1.624334889,2.880038959,7.849242446,9.961128417,7.42631508,0,0,0.768671318,2.567082971,0,0,0,0,7.921120897,2.175875851,2.384712962,8.739645614,0,0,0,0,10.42930212,0.768671318,3.239520247,7.780441343,1.93164524,7.315511889,0,9.866340838,7.816919644,0,2.728965349,10.02390679,0,10.76421643,0,0,0,5.38599351,5.410073085,10.24833084,8.59748648,11.65025745,0,1
4.586008076,3.131638868,8.896565517,9.978853435,7.61633564,0.49057013,0,1.939301814,3.475811237,0,0,0,0.49057013,9.445497044,1.939301814,3.051441711,6.246581003,0,0,0,0,8.523365924,0.49057013,2.737751649,7.561707994,0,7.144189163,0,11.81540331,6.759302333,0.49057013,0,9.512631837,0.49057013,9.733256033,0.49057013,0,0,1.14737183,7.495255445,10.81159144,8.852747965,11.46352948,0,1
2.936157353,3.383980711,7.167167221,10.11387237,7.007150641,0.6368218,0,0.6368218,3.038120075,0,0,0,1.077174623,7.684909885,2.114233744,1.414027259,9.448236095,0,0,0.6368218,4.095350603,9.517600499,2.288240425,3.651327284,7.649457386,0,8.869655529,5.504464675,10.35237453,6.497376048,0,1.077174623,9.665906131,0,10.9234612,0,0,0,5.573341198,6.950013418,10.11026144,9.17665189,11.74024034,1.077174623,1
3.015390519,2.356932568,7.716730308,10.07543904,7.007644031,0,0,0.57269568,2.42921423,0,0,0,0,8.150447977,3.773004659,4.174446369,8.466900332,0,0,0,4.357073373,10.18398268,1.78098194,3.196544098,6.770657286,0,6.85500548,0,11.14288565,6.635761645,0,2.874855971,9.672098223,0,10.20795384,0,0,0,4.719243688,8.724605937,10.44176149,9.063699768,11.67055446,0,1
3.630230716,3.682460934,8.436861425,9.911273631,7.67027384,0,0,1.124857467,2.516771607,0,0,0,0,7.759448818,3.149210581,2.867382536,7.418097162,0,0,0,0.478816529,9.672626881,0,3.587413,7.318452427,1.36418019,6.996117538,1.36418019,11.48733762,5.626757429,0,0,10.10004466,0.837701091,10.07657513,0.478816529,0,0,0.837701091,8.490068662,10.41319421,8.887814634,11.46502555,0,1
4.6622055,3.903356477,7.58666718,10.33286455,6.247067335,1.143328107,0,0,2.81653827,0,0,0,0,7.620945573,2.210014738,3.618649789,7.940225491,0,0,0,0,9.627986138,2.441695937,3.859174456,5.072170128,0,7.130282252,0,10.57693778,6.486329839,0.488515009,4.721804638,9.947636938,0,10.34855113,0,0,0,4.907597343,5.802337996,10.63403959,8.76357424,11.58577942,0.488515009,1
2.893032081,2.390365029,8.069771971,9.623032811,7.87072843,0.512783121,0,1.18935017,2.397392269,0,0,0,0.512783121,9.353321085,3.118243428,0,8.029993905,0,0,0.890407779,0,10.25729355,0,4.124510115,7.667650899,2.888051563,7.638001411,0.890407779,12.6975649,7.312283976,0.890407779,0,9.608118032,0,9.690170875,0,0,0,3.915138426,5.253074059,9.781166248,10.25880156,11.45113382,0.512783121,1
2.756212036,3.225290356,8.003939486,9.98982022,5.051676619,0,0,0,2.958285901,0,0,0,0,7.557341158,2.132905812,0,7.109914211,0,0,0,0,10.04094721,3.805261496,3.55118376,7.024940174,0,7.896750165,0,12.25306153,7.784804949,1.703676599,1.089972644,10.02931484,0,10.5775138,0,0,0,3.480006551,8.056567272,10.82152687,8.785226851,12.00330708,1.934214533,1
2.408820535,2.340505301,7.189518201,9.806504512,6.38604181,0,0,0,2.718854771,0,0,0,0,9.376939322,1.922844822,0,9.331400682,0,0,0,0,8.745681046,1.419538892,6.018718732,3.790980505,2.836287733,7.197285508,0,14.59798269,9.980039585,0,0,9.505515841,0,9.357422244,0,0,0,3.312316654,6.74262607,10.10012353,9.994325148,11.25653895,0,1
2.338310307,2.113833829,7.720524731,10.01194004,6.977978202,1.308652111,0,0.988920951,2.152702631,0,0,0,0.988920951,9.386172902,2.788351618,0,6.960974988,0,0,1.570220033,0,9.489593109,0.577634265,3.679964201,7.505406669,2.566498579,7.470789006,0,13.05562476,7.142872887,0.577634265,0,9.283907886,0.577634265,9.79721568,0,0,0,1.983385843,6.263498323,7.235344128,9.76083303,11.20091699,0.577634265,1
3.802358678,3.143736255,7.813332283,9.58706865,8.22568946,0.790355014,7.209316888,2.773089083,2.848077054,0.44858384,0,0,1.066399229,7.398965957,3.48703608,0,9.630867744,0,0,0,0,9.096362013,1.298013064,4.713261401,7.063524514,0.44858384,7.326627226,8.479687314,12.15007728,8.482634541,0,3.43931728,9.60136596,4.122084589,10.05899287,0,0,0,2.773089083,7.555409726,10.42438677,8.740573452,11.83891238,0,1
4.743552667,4.432926011,6.904110731,9.569327789,8.255821716,1.56832402,0.478298822,2.1820884,2.301938767,0,0,0,0,8.871658865,3.677350377,6.419132655,5.61355228,0,0,0,0,10.34021731,1.56832402,5.051250277,0.836893627,0.836893627,8.056551015,0,12.26446606,6.977417316,0.836893627,2.515359227,9.643533351,0.478298822,9.859168242,0,0.478298822,0,2.1820884,7.92110304,10.19198451,9.397492814,11.75723998,0.478298822,1
3.160242556,2.672515861,8.319075955,10.24046937,7.165138142,0,0.578407414,1.985099626,2.68362909,0,0,0,0,7.561425429,2.790334159,0,6.3726753,0,0,1.571725344,0,9.638356265,0.578407414,4.151160674,6.024818312,0.578407414,8.116900136,0.990083536,12.75655215,7.714925485,0.990083536,0.578407414,10.09518601,0,9.946646069,0,0,0,0.990083536,7.884085024,10.30318711,10.94555357,11.41527699,0.990083536,1
3.37420486,3.150510936,7.759109217,10.4979516,7.817962149,0.506601942,0,0.506601942,1.633896146,0,0,0,0.880803052,8.56203631,1.97998873,0,7.533454332,0,0,0,0,9.721953613,1.423739507,3.161404016,7.807161691,0.880803052,6.958784688,0.506601942,11.00122521,5.766295673,0,3.234807853,9.726259038,0,10.11355986,0,0,0,0,7.734926347,10.19607339,10.82612738,11.83722187,0.506601942,1
4.609583597,3.132132615,7.92464032,10.1781295,7.865318804,0,0,2.117960953,1.690282989,0,0,0,0.638583615,7.159689727,2.832829268,0,7.617900852,0,0,0,3.308695791,10.67229274,0.638583615,3.899156291,7.511863322,0.638583615,7.616269467,1.41705586,11.61022667,7.705176182,0,0,10.15577959,0,9.781648224,0,0,0,0.638583615,7.054848477,10.56396843,8.416827078,11.78725369,0,1
